序号,汉字,Unicode,Unicode十六进制,来源,出现次数
1,一,19968,U+4E00,追加字库; 合并字库; GB2312,3
2,丁,19969,U+4E01,合并字库; GB2312,2
3,七,19971,U+4E03,合并字库; GB2312,2
4,万,19975,U+4E07,合并字库; GB2312,2
5,丈,19976,U+4E08,追加字库; 合并字库; GB2312,3
6,三,19977,U+4E09,合并字库; GB2312,2
7,上,19978,U+4E0A,合并字库; GB2312,2
8,下,19979,U+4E0B,追加字库; 合并字库; GB2312,3
9,丌,19980,U+4E0C,追加字库; 合并字库; GB2312,3
10,不,19981,U+4E0D,合并字库; GB2312,2
11,与,19982,U+4E0E,追加字库; 追加字库; 合并字库; GB2312,4
12,丐,19984,U+4E10,追加字库; 合并字库; GB2312,3
13,丑,19985,U+4E11,追加字库; 合并字库; GB2312,3
14,专,19987,U+4E13,追加字库; 合并字库; GB2312,3
15,且,19988,U+4E14,追加字库; 合并字库; GB2312,3
16,丕,19989,U+4E15,追加字库; 合并字库; GB2312,3
17,世,19990,U+4E16,追加字库; 合并字库; GB2312,3
18,丘,19992,U+4E18,合并字库; GB2312,2
19,丙,19993,U+4E19,追加字库; 合并字库; GB2312,3
20,业,19994,U+4E1A,合并字库; GB2312,2
21,丛,19995,U+4E1B,追加字库; 合并字库; GB2312,3
22,东,19996,U+4E1C,合并字库; GB2312,2
23,丝,19997,U+4E1D,合并字库; GB2312,2
24,丞,19998,U+4E1E,追加字库; 合并字库; GB2312,3
25,丢,20002,U+4E22,追加字库; 合并字库; GB2312,3
26,两,20004,U+4E24,合并字库; GB2312,2
27,严,20005,U+4E25,追加字库; 合并字库; GB2312,3
28,丧,20007,U+4E27,追加字库; 合并字库; GB2312,3
29,丨,20008,U+4E28,追加字库; 合并字库; GB2312,3
30,个,20010,U+4E2A,合并字库; GB2312,2
31,丫,20011,U+4E2B,追加字库; 合并字库; GB2312,3
32,丬,20012,U+4E2C,追加字库; 合并字库; GB2312,3
33,中,20013,U+4E2D,追加字库; 合并字库; GB2312,3
34,丰,20016,U+4E30,合并字库; GB2312,2
35,串,20018,U+4E32,追加字库; 合并字库; GB2312,3
36,临,20020,U+4E34,合并字库; GB2312,2
37,丶,20022,U+4E36,追加字库; 合并字库; GB2312,3
38,丸,20024,U+4E38,追加字库; 合并字库; GB2312,3
39,丹,20025,U+4E39,合并字库; GB2312,2
40,为,20026,U+4E3A,合并字库; GB2312,2
41,主,20027,U+4E3B,合并字库; GB2312,2
42,丽,20029,U+4E3D,合并字库; GB2312,2
43,举,20030,U+4E3E,追加字库; 合并字库; GB2312,3
44,丿,20031,U+4E3F,追加字库; 合并字库; GB2312,3
45,乃,20035,U+4E43,追加字库; 合并字库; GB2312,3
46,久,20037,U+4E45,追加字库; 合并字库; GB2312,3
47,乇,20039,U+4E47,追加字库; 合并字库; GB2312,3
48,么,20040,U+4E48,追加字库; 合并字库; GB2312,3
49,义,20041,U+4E49,合并字库; GB2312,2
50,之,20043,U+4E4B,合并字库; GB2312,2
51,乌,20044,U+4E4C,合并字库; GB2312,2
52,乍,20045,U+4E4D,追加字库; 合并字库; GB2312,3
53,乎,20046,U+4E4E,追加字库; 合并字库; GB2312,3
54,乏,20047,U+4E4F,追加字库; 合并字库; GB2312,3
55,乐,20048,U+4E50,合并字库; GB2312,2
56,乒,20050,U+4E52,追加字库; 合并字库; GB2312,3
57,乓,20051,U+4E53,追加字库; 合并字库; GB2312,3
58,乔,20052,U+4E54,追加字库; 合并字库; GB2312,3
59,乖,20054,U+4E56,追加字库; 合并字库; GB2312,3
60,乘,20056,U+4E58,合并字库; GB2312,2
61,乙,20057,U+4E59,追加字库; 合并字库; GB2312,3
62,乜,20060,U+4E5C,追加字库; 合并字库; GB2312,3
63,九,20061,U+4E5D,合并字库; GB2312,2
64,乞,20062,U+4E5E,追加字库; 合并字库; GB2312,3
65,也,20063,U+4E5F,追加字库; 合并字库; GB2312,3
66,习,20064,U+4E60,追加字库; 合并字库; GB2312,3
67,乡,20065,U+4E61,合并字库; GB2312,2
68,书,20070,U+4E66,追加字库; 合并字库; GB2312,3
69,乩,20073,U+4E69,追加字库; 合并字库; GB2312,3
70,买,20080,U+4E70,合并字库; GB2312,2
71,乱,20081,U+4E71,追加字库; 合并字库; GB2312,3
72,乳,20083,U+4E73,追加字库; 合并字库; GB2312,3
73,乾,20094,U+4E7E,合并字库; GB2312,2
74,了,20102,U+4E86,合并字库; GB2312,2
75,予,20104,U+4E88,追加字库; 合并字库; GB2312,3
76,争,20105,U+4E89,追加字库; 合并字库; GB2312,3
77,事,20107,U+4E8B,合并字库; GB2312,2
78,二,20108,U+4E8C,合并字库; GB2312,2
79,亍,20109,U+4E8D,追加字库; 合并字库; GB2312,3
80,于,20110,U+4E8E,合并字库; GB2312,2
81,亏,20111,U+4E8F,追加字库; 合并字库; GB2312,3
82,云,20113,U+4E91,合并字库; GB2312,2
83,互,20114,U+4E92,合并字库; GB2312,2
84,亓,20115,U+4E93,合并字库; GB2312,2
85,五,20116,U+4E94,合并字库; GB2312,2
86,井,20117,U+4E95,合并字库; GB2312,2
87,亘,20120,U+4E98,追加字库; 合并字库; GB2312,3
88,亚,20122,U+4E9A,合并字库; GB2312,2
89,些,20123,U+4E9B,追加字库; 合并字库; GB2312,3
90,亟,20127,U+4E9F,追加字库; 合并字库; GB2312,3
91,亠,20128,U+4EA0,追加字库; 合并字库; GB2312,3
92,亡,20129,U+4EA1,追加字库; 合并字库; GB2312,3
93,亢,20130,U+4EA2,追加字库; 合并字库; GB2312,3
94,交,20132,U+4EA4,合并字库; GB2312,2
95,亥,20133,U+4EA5,追加字库; 合并字库; GB2312,3
96,亦,20134,U+4EA6,追加字库; 合并字库; GB2312,3
97,产,20135,U+4EA7,追加字库; 合并字库; GB2312,3
98,亨,20136,U+4EA8,追加字库; 合并字库; GB2312,3
99,亩,20137,U+4EA9,追加字库; 合并字库; GB2312,3
100,享,20139,U+4EAB,追加字库; 合并字库; GB2312,3
101,京,20140,U+4EAC,合并字库; GB2312,2
102,亭,20141,U+4EAD,合并字库; GB2312,2
103,亮,20142,U+4EAE,合并字库; GB2312,2
104,亲,20146,U+4EB2,追加字库; 合并字库; GB2312,3
105,亳,20147,U+4EB3,合并字库; GB2312,2
